"Contract ","Sales Order","Created Date","Product: Product Name","Quantity Ordered","Customer ","Product: Metal: Metal Name","Product: Product Code"
"CON-62631","SO-34937","8/21/2023","Gold Bar 100 g PAMP Fortuna","1.000000","Gold Bling Jewelry","Gold","GB100GPAMPF"
"CON-62764","SO-34997","8/24/2023","Gold Bar 100 g PAMP Fortuna","3.000000","K.B. Zaveree","Gold","GB100GPAMPF"
"CON-56918","SO-31964","2/3/2023","Gold Bar 100 g PAMP Fortuna","1.000000","Trust Jewelry and Repair, Inc.","Gold","GB100GPAMPF"
"CON-63002","SO-35097","9/5/2023","Gold Bar 100 g Valcambi","1.000000","Sri Krishna Jewellers","Gold","GB100GVAL"
"CON-62399","SO-34836","8/15/2023","Gold Bar 100 g Valcambi","2.000000","Rudy's Gold & Silver","Gold","GB100GVAL"
"CON-62593","SO-34916","8/21/2023","Gold Bar 100 g Valcambi","1.000000","Tanmai Jewelers","Gold","GB100GVAL"
"CON-62575","SO-34912","8/18/2023","Gold Bar 100 g Valcambi","5.000000","Rudy's Gold & Silver","Gold","GB100GVAL"
"CON-57434","SO-32250","2/27/2023","Gold Bar 100 X 1 gram CombiBar","1.000000","Rudy's Gold & Silver","Gold","GB100X1G"
"CON-58232","SO-32738","3/22/2023","Gold Bar 100 X 1 gram CombiBar","2.000000","Rudy's Gold & Silver","Gold","GB100X1G"
"CON-59498","SO-33522","5/1/2023","Gold Bar 10 oz Credit Suisse","2.000000","Houston Numismatic Exchange","Gold","GB10CREDIT"
"CON-58305","SO-32790","3/23/2023","Gold Bar 10 oz Credit Suisse","1.000000","Royal Gold & Silver Exchange","Gold","GB10CREDIT"
"CON-56513","SO-31760","1/17/2023","Gold Bar 10 oz Credit Suisse","1.000000","Kilo Funding 1 LLC","Gold","GB10CREDIT"
"CON-61129","SO-34286","7/6/2023","Gold Bar 10 oz Credit Suisse","1.000000","Tomahawk Consulting, LLC","Gold","GB10CREDIT"
"CON-55980","SO-31527","1/4/2023","Gold Bar 10 oz Credit Suisse","1.000000","Beryl Jewelers","Gold","GB10CREDIT"
"CON-56761","SO-31867","1/26/2023","Gold Bar 10 oz Credit Suisse","2.000000","Paras Gold Inc.","Gold","GB10CREDIT"
"CON-55943","SO-31510","1/3/2023","Gold Bar 10 Gram Any Brand","5.000000","Ohio Trading Inc. DBA Ohio Trading Coin & Jewelry","Gold","GB10G"
"CON-57351","SO-32199","2/23/2023","Gold Bar 10 Gram Any Brand","1.000000","Ross Jewelers","Gold","GB10G"
"CON-60824","SO-34166","6/21/2023","Gold Bar 10 Gram Any Brand","1.000000","Vallejo Coin Exchange","Gold","GB10G"
